Date,Open*,High,Low,Close**,Volume,Market Cap
31-Mar-21,$1.21 ,$1.21 ,$1.17 ,$1.19 ,"$3,190,463,749 ","$38,122,781,325 "
30-Mar-21,$1.20 ,$1.23 ,$1.19 ,$1.21 ,"$2,517,422,843 ","$38,763,410,938 "
29-Mar-21,$1.19 ,$1.23 ,$1.18 ,$1.20 ,"$2,554,597,106 ","$38,419,153,521 "
28-Mar-21,$1.18 ,$1.22 ,$1.17 ,$1.19 ,"$2,397,009,016 ","$38,054,391,213 "
27-Mar-21,$1.21 ,$1.24 ,$1.16 ,$1.18 ,"$3,106,871,131 ","$37,589,641,439 "
26-Mar-21,$1.10 ,$1.28 ,$1.10 ,$1.21 ,"$6,325,795,912 ","$38,784,256,431 "
25-Mar-21,$1.07 ,$1.15 ,$1.06 ,$1.10 ,"$5,732,698,268 ","$35,193,427,842 "
24-Mar-21,$1.12 ,$1.16 ,$1.06 ,$1.08 ,"$3,759,287,517 ","$34,344,508,821 "
23-Mar-21,$1.11 ,$1.17 ,$1.09 ,$1.12 ,"$4,609,407,773 ","$35,831,695,679 "
22-Mar-21,$1.19 ,$1.21 ,$1.09 ,$1.11 ,"$4,058,067,310 ","$35,458,596,654 "
21-Mar-21,$1.21 ,$1.24 ,$1.16 ,$1.19 ,"$4,064,084,727 ","$37,991,018,691 "
20-Mar-21,$1.30 ,$1.31 ,$1.21 ,$1.21 ,"$4,316,999,916 ","$38,546,959,900 "
19-Mar-21,$1.24 ,$1.34 ,$1.20 ,$1.30 ,"$7,970,282,918 ","$41,602,128,113 "
18-Mar-21,$1.38 ,$1.47 ,$1.24 ,$1.24 ,"$11,392,835,545 ","$39,584,149,301 "
17-Mar-21,$1.24 ,$1.42 ,$1.21 ,$1.38 ,"$10,046,495,758 ","$44,046,287,352 "
16-Mar-21,$1.03 ,$1.26 ,$1.00 ,$1.24 ,"$9,502,962,157 ","$39,710,232,338 "
15-Mar-21,$1.06 ,$1.07 ,$1.01 ,$1.03 ,"$4,545,451,677 ","$33,019,817,868 "
14-Mar-21,$1.10 ,$1.10 ,$1.06 ,$1.06 ,"$3,738,147,940 ","$33,838,166,627 "
13-Mar-21,$1.04 ,$1.18 ,$0.99 ,$1.10 ,"$5,871,086,058 ","$35,249,017,882 "
12-Mar-21,$1.12 ,$1.13 ,$1.03 ,$1.04 ,"$4,224,893,051 ","$33,198,891,101 "
11-Mar-21,$1.13 ,$1.14 ,$1.11 ,$1.12 ,"$3,633,460,869 ","$35,935,123,941 "
10-Mar-21,$1.20 ,$1.20 ,$1.12 ,$1.14 ,"$4,215,428,913 ","$36,261,417,319 "
09-Mar-21,$1.12 ,$1.21 ,$1.11 ,$1.20 ,"$5,317,733,185 ","$38,183,375,234 "
08-Mar-21,$1.13 ,$1.18 ,$1.11 ,$1.12 ,"$3,557,114,310 ","$35,719,914,246 "
07-Mar-21,$1.13 ,$1.14 ,$1.11 ,$1.13 ,"$4,204,795,554 ","$36,209,148,044 "
06-Mar-21,$1.17 ,$1.18 ,$1.09 ,$1.13 ,"$5,348,048,001 ","$36,133,913,814 "
05-Mar-21,$1.11 ,$1.20 ,$1.04 ,$1.17 ,"$7,325,099,027 ","$37,332,335,359 "
04-Mar-21,$1.22 ,$1.23 ,$1.07 ,$1.11 ,"$7,164,490,225 ","$35,618,147,966 "
03-Mar-21,$1.23 ,$1.26 ,$1.21 ,$1.22 ,"$4,937,160,429 ","$38,868,096,418 "
02-Mar-21,$1.29 ,$1.30 ,$1.19 ,$1.23 ,"$8,118,255,106 ","$39,155,277,835 "
01-Mar-21,$1.31 ,$1.34 ,$1.24 ,$1.29 ,"$9,775,330,113 ","$41,289,607,566 "
28-Feb-21,$1.32 ,$1.36 ,$1.17 ,$1.31 ,"$15,732,556,180 ","$40,696,967,235 "
27-Feb-21,$1.24 ,$1.48 ,$1.23 ,$1.32 ,"$19,141,980,288 ","$41,219,695,427 "
26-Feb-21,$1.08 ,$1.29 ,$1.00 ,$1.24 ,"$14,884,142,109 ","$38,613,872,246 "
25-Feb-21,$1.05 ,$1.17 ,$1.02 ,$1.08 ,"$8,248,286,269 ","$33,573,986,145 "
24-Feb-21,$0.96 ,$1.07 ,$0.90 ,$1.05 ,"$8,481,334,623 ","$32,719,650,909 "
