Date,Open*,High,Low,Close**,Volume,Market Cap
31-Mar-21,$196.69 ,$199.28 ,$189.49 ,$197.50 ,"$3,416,343,750 ","$13,183,541,314 "
30-Mar-21,$194.47 ,$200.12 ,$191.15 ,$196.68 ,"$3,604,665,752 ","$13,129,004,499 "
29-Mar-21,$185.02 ,$197.49 ,$183.48 ,$194.47 ,"$3,353,971,422 ","$12,981,660,946 "
28-Mar-21,$184.82 ,$187.75 ,$181.67 ,$185.03 ,"$2,162,823,815 ","$12,351,098,573 "
27-Mar-21,$184.27 ,$186.54 ,$179.12 ,$184.83 ,"$2,408,040,965 ","$12,336,637,351 "
26-Mar-21,$173.02 ,$184.44 ,$172.74 ,$184.28 ,"$3,109,769,980 ","$12,298,583,953 "
25-Mar-21,$177.59 ,$179.13 ,$169.64 ,$173.06 ,"$3,429,325,350 ","$11,548,812,450 "
24-Mar-21,$187.34 ,$197.34 ,$175.84 ,$177.65 ,"$4,051,272,249 ","$11,854,104,964 "
23-Mar-21,$187.07 ,$189.96 ,$182.69 ,$187.39 ,"$3,047,428,308 ","$12,502,735,967 "
22-Mar-21,$196.43 ,$198.90 ,$186.62 ,$187.08 ,"$3,115,325,434 ","$12,480,313,549 "
21-Mar-21,$200.81 ,$202.85 ,$193.50 ,$196.43 ,"$2,758,761,604 ","$13,102,583,632 "
20-Mar-21,$201.03 ,$206.70 ,$200.18 ,$200.81 ,"$2,529,075,165 ","$13,393,101,107 "
19-Mar-21,$200.50 ,$205.34 ,$196.95 ,$201.06 ,"$2,807,932,048 ","$13,408,836,542 "
18-Mar-21,$206.03 ,$208.10 ,$200.10 ,$200.54 ,"$3,719,561,575 ","$13,372,309,588 "
17-Mar-21,$201.06 ,$206.29 ,$195.03 ,$206.07 ,"$4,362,001,168 ","$13,739,726,325 "
16-Mar-21,$201.19 ,$204.86 ,$192.19 ,$201.04 ,"$5,270,029,739 ","$13,403,133,372 "
15-Mar-21,$215.23 ,$221.69 ,$198.75 ,$201.26 ,"$6,186,375,403 ","$13,416,579,221 "
14-Mar-21,$226.51 ,$227.83 ,$215.30 ,$215.30 ,"$4,537,627,844 ","$14,350,314,679 "
13-Mar-21,$220.86 ,$229.37 ,$213.61 ,$226.58 ,"$6,378,541,696 ","$15,100,529,216 "
12-Mar-21,$201.27 ,$223.61 ,$198.95 ,$220.83 ,"$8,079,722,567 ","$14,715,870,199 "
11-Mar-21,$200.45 ,$203.17 ,$191.54 ,$201.25 ,"$4,823,154,653 ","$13,409,899,023 "
10-Mar-21,$203.64 ,$207.39 ,$192.58 ,$200.52 ,"$6,296,082,804 ","$13,362,305,353 "
09-Mar-21,$191.94 ,$204.75 ,$189.42 ,$203.64 ,"$5,408,294,951 ","$13,568,866,822 "
08-Mar-21,$190.77 ,$194.62 ,$180.07 ,$191.93 ,"$4,401,225,306 ","$12,787,203,585 "
07-Mar-21,$182.99 ,$191.77 ,$182.42 ,$190.76 ,"$3,541,357,558 ","$12,707,914,233 "
06-Mar-21,$180.71 ,$184.34 ,$175.40 ,$182.98 ,"$3,799,599,706 ","$12,188,376,458 "
